id,slug,category,name,official_name,url,logo_path,logo_format,license,source_logo_url,alt_ru,alt_en,title_ru,title_en,meta_ru,meta_en
1,harvard,academic,Harvard,Harvard University,https://www.harvard.edu,assets/logos/monochrome/harvard.svg,svg,official,https://www.harvard.edu,"Harvard — академический источник текстов и исследований для реконструкций Evera","Harvard — academic source of texts and research for Evera reconstructions","Harvard: корпуса и публикации для цифровых реконструкций","Harvard: corpora and publications for digital reconstructions","Используем корпуса и публикации для верификации цитат и контекста 'вечных'.","We use corpora and publications to verify quotes and context of the 'Eternals'."
2,mit,academic,MIT,Massachusetts Institute of Technology,https://www.mit.edu,assets/logos/monochrome/mit.svg,svg,official,https://www.mit.edu,"MIT — инженерные подходы и данные для языкового моделирования в Evera","MIT — engineering approaches and data for Evera language modeling","MIT: инженерные методы, ML-исследования","MIT: engineering methods, ML research","Методология моделирования опирается на работы MIT по ИИ и лингвистике.","Modeling relies on MIT AI & linguistics research."
3,stanford,academic,Stanford,Stanford University,https://www.stanford.edu,assets/logos/monochrome/stanford.svg,svg,official,https://www.stanford.edu,"Stanford — исследования и лаборатории для когнитивных реконструкций Evera","Stanford — research and labs powering Evera's cognitive reconstructions","Stanford: нейронаука и гуманитарные лаборатории","Stanford: neuroscience and humanities labs","Используем междисциплинарные исследования Стэнфорда по памяти и когнитивным системам.","Leverage Stanford's interdisciplinary research on memory and cognitive systems."
4,oxford,academic,Oxford,University of Oxford,https://www.ox.ac.uk,assets/logos/monochrome/oxford.svg,svg,official,https://www.ox.ac.uk,"Oxford — классические тексты и переводческие школы для античной филологии","Oxford — classics and translation schools for ancient philology","Oxford: классика, переводы, комментарии","Oxford: classics, translations, commentaries","Источник критических изданий и переводов для античных 'вечных'.","Source of critical editions/translations for ancient 'Eternals'."
5,cambridge,academic,Cambridge,University of Cambridge,https://www.cam.ac.uk,assets/logos/monochrome/cambridge.svg,svg,official,https://www.cam.ac.uk,"Cambridge — академические издания, базы ссылок, словари","Cambridge — academic editions, reference bases, dictionaries","Cambridge: академические издания","Cambridge: academic editions","Используем издания и словари для ссылочной валидации.","Used for reference validation and dictionaries."
6,eth,academic,ETH Zürich,ETH Zürich,https://ethz.ch,assets/logos/monochrome/eth.svg,svg,official,https://ethz.ch,"ETH Zürich — архивы Юнга и научные публикации по психологии","ETH Zürich — Jung archives and psychology research","ETH: архив Юнга, психология","ETH: Jung archive, psychology","Опора для реконструкций аналитической психологии.","A foundation for analytical psychology reconstructions."
7,princeton,academic,Princeton,Princeton University,https://www.princeton.edu,assets/logos/monochrome/princeton.svg,svg,official,https://www.princeton.edu,"Princeton — Princeton University Press, критические издания","Princeton — Princeton University Press, critical editions","Princeton: PUP источники","Princeton: PUP sources","Критические издания и монографии для уточнения контекста.","Critical editions/monographs for context."
8,sorbonne,academic,Sorbonne,Sorbonne University,https://www.sorbonne-universite.fr,assets/logos/monochrome/sorbonne.svg,svg,official,https://www.sorbonne-universite.fr,"Sorbonne — романистика, филология, гуманитарные исследования","Sorbonne — Romance studies, philology, humanities","Sorbonne: гуманитарные исследования","Sorbonne: humanities research","Лингвистические и культурологические источники.","Linguistic and cultural sources."
9,toronto,academic,Toronto,University of Toronto,https://www.utoronto.ca,assets/logos/monochrome/toronto.svg,svg,official,https://www.utoronto.ca,"Toronto — корпусные исследования, психология, философия","Toronto — corpora, psychology, philosophy","Toronto: корпусные исследования","Toronto: corpus-based research","Базы текстов и корпусные методы для анализа стиля.","Text corpora and stylistic analysis methods."
10,athens,academic,Athens,National and Kapodistrian University of Athens,https://en.uoa.gr,assets/logos/monochrome/athens.svg,svg,official,https://en.uoa.gr,"Athens — античность, источники на греческом","Athens — antiquity, Greek sources","UoA: античная текстология","UoA: ancient textology","Ключевой партнёр по греческим вариантам текстов.","Key partner for Greek text variants."
11,harvard-yenching,academic,Harvard-Yenching,Harvard-Yenching Institute,https://harvard-yenching.org,assets/logos/monochrome/harvard-yenching.svg,svg,official,https://harvard-yenching.org,"Harvard-Yenching — гуманитарные фонды и востоковедческие источники для Evera","Harvard-Yenching — humanities grants and sinology sources for Evera","Harvard-Yenching: востоковедение и гуманитарные фонды","Harvard-Yenching: sinology and humanities grants","Обеспечивает доступ к архивам и грантам по восточным гуманитарным традициям.","Provides archives and grants on Eastern humanistic traditions."
12,philemon,academic,Philemon,Philemon Foundation,https://philemonfoundation.org,assets/logos/monochrome/philemon.svg,svg,official,https://philemonfoundation.org,"Philemon — публикации и архивы Юнга","Philemon — Jung publications and archives","Philemon: архив Юнга","Philemon: Jung archive","Источники для реконструкций Юнга.","Sources for Jung reconstructions."
13,unesco,academic,UNESCO,UNESCO,https://www.unesco.org,assets/logos/monochrome/unesco.svg,svg,official,https://www.unesco.org,"UNESCO — культурное наследие, этика ИИ","UNESCO — cultural heritage, AI ethics","UNESCO: наследие и этика","UNESCO: heritage & AI ethics","Рамки этики и сохранения культурной памяти.","Ethical and heritage frameworks."
14,academia-sinica,academic,Academia Sinica,Academia Sinica,https://www.sinica.edu.tw,assets/logos/monochrome/academia-sinica.svg,svg,official,https://www.sinica.edu.tw,"Academia Sinica — корпуса и азиатские исследования","Academia Sinica — corpora and Asian studies","AS: корпуса, Азия","AS: corpora, Asia","Корпусные данные и лингвистика.","Corpus data and linguistics."
15,ras,academic,РАН,Russian Academy of Sciences,https://www.ras.ru,assets/logos/monochrome/ras.svg,svg,official,https://www.ras.ru,"РАН — академические издания и переводы","RAS — academic editions and translations","РАН: издания, переводы","RAS: editions, translations","Научные публикации и критические тексты.","Scholarly publications and critical texts."
16,openai,tech,OpenAI,OpenAI,https://openai.com,assets/logos/monochrome/openai.svg,svg,official,https://openai.com/brand,"OpenAI — тестовая инфраструктура для калибровки диалоговых реконструкций Evera","OpenAI — calibration/test infra for Evera’s dialogic reconstructions","OpenAI: калибровка диалогов","OpenAI: dialogue calibration","Используем как мост до полного переноса на собственный контур.","Used as a bridge before full migration to Evera infra."
17,deepmind,tech,DeepMind,Google DeepMind,https://deepmind.google,assets/logos/monochrome/deepmind.svg,svg,official,https://deepmind.google,"DeepMind — исследования ИИ, верификация эвристик","DeepMind — AI research, heuristic verification","DeepMind: исследования ИИ","DeepMind: AI research","Опираемся на публикации по моделям и памяти.","Rely on research on models & memory."
18,anthropic,tech,Anthropic,Anthropic,https://www.anthropic.com,assets/logos/monochrome/anthropic.svg,svg,official,https://www.anthropic.com,"Anthropic — безопасные LLM, конституционная ИИ-этика","Anthropic — safety-first LLMs, constitutional AI ethics","Anthropic: безопасность LLM","Anthropic: LLM safety","Применяем принципы безопасных диалогов.","Apply safe-dialogue principles."
19,huggingface,tech,Hugging Face,Hugging Face,https://huggingface.co,assets/logos/monochrome/hf.svg,svg,official,https://huggingface.co,"Hugging Face — модели, токенайзеры, векторизация","Hugging Face — models, tokenizers, vectorization","HF: модели и токенизация","HF: models & tokenization","Тестируем открытые модели и пайплайны.","Test open models & pipelines."
20,stability,tech,Stability AI,Stability AI,https://stability.ai,assets/logos/monochrome/stability.svg,svg,official,https://stability.ai,"Stability — синтез визуальных материалов для лекций","Stability — visual synthesis for lectures","Stability: визуальный синтез","Stability: visual synthesis","Визуальные иллюстрации к диалогам.","Visual illustrations for dialogues."
21,google-research,tech,Google Research,Google Research,https://research.google,assets/logos/monochrome/google-research.svg,svg,official,https://research.google,"Google Research — работы по NLP и оценке моделей","Google Research — NLP & eval research","Google Research: NLP, оценка","Google Research: NLP & eval","Методы оценки качества и семантики.","Methods for quality/semantic eval."
22,microsoft-research,tech,Microsoft Research,Microsoft Research,https://www.microsoft.com/en-us/research,assets/logos/monochrome/msr.svg,svg,official,https://www.microsoft.com/en-us/research,"MSR — инструменты и исследования ML","MSR — ML tools and research","MSR: инструменты ML","MSR: ML tools","Инструментарий и публикации для ML-рабочих процессов.","Tooling & publications for ML workflows."
23,ibm-research,tech,IBM Research,IBM Research,https://www.research.ibm.com,assets/logos/monochrome/ibm.svg,svg,official,https://www.research.ibm.com,"IBM Research — NLP, доверенные вычисления","IBM Research — NLP, trusted compute","IBM: NLP, доверие","IBM: NLP, trust","Практики воспроизводимости и приватности.","Reproducibility & privacy practices."
24,nvidia,tech,NVIDIA AI,NVIDIA AI,https://www.nvidia.com/ai,assets/logos/monochrome/nvidia.svg,svg,official,https://www.nvidia.com/brand,"NVIDIA AI — ускорение инференса и тренировки","NVIDIA AI — acceleration for inference/training","NVIDIA: ускорение ИИ","NVIDIA: AI acceleration","Графика и ускорители для обучения/инференса.","GPUs/accelerators for train/infer."
25,aws,tech,AWS,Amazon Web Services,https://aws.amazon.com,assets/logos/monochrome/aws.svg,svg,official,https://aws.amazon.com/branding,"AWS — вычислительная платформа и хранение","AWS — compute & storage","AWS: вычисления и хранение","AWS: compute & storage","Инфраструктура для тестов и хранения артефактов.","Infra for tests & artifact storage."
26,supabase,tech,Supabase,Supabase,https://supabase.com,assets/logos/monochrome/supabase.svg,svg,official,https://supabase.com/brand,"Supabase — БД и аутентификация для TMA-событий","Supabase — DB & auth for TMA events","Supabase: Postgres для событий","Supabase: Postgres for events","Храним пользователей и события TMA.","Store TMA users & events."
27,vercel,tech,Vercel,Vercel,https://vercel.com,assets/logos/monochrome/vercel.svg,svg,official,https://vercel.com/brand,"Vercel — serverless API для Evera","Vercel — serverless API for Evera","Vercel: serverless","Vercel: serverless","Хостинг API/функций и статических страниц.","Hosting API/functions and static pages."
28,cloudflare,tech,Cloudflare,Cloudflare,https://www.cloudflare.com,assets/logos/monochrome/cloudflare.svg,svg,official,https://www.cloudflare.com/press,"Cloudflare — edge, кеш, защита","Cloudflare — edge, cache, protection","Cloudflare: edge & cache","Cloudflare: edge & cache","Edge-кэш и защита для быстрого ответа.","Edge cache & protection for speed."
29,github,tech,GitHub,GitHub,https://github.com,assets/logos/monochrome/github.svg,svg,official,https://github.com/logos,"GitHub — версия кода и артефактов методологии","GitHub — code & methodology artifacts","GitHub: версии и артефакты","GitHub: versions & artifacts","Репозитории методологии и билда.","Repos for methodology and build."
30,telegram,tech,Telegram,Telegram,https://telegram.org,assets/logos/monochrome/telegram.svg,svg,official,https://core.telegram.org/,"Telegram — Mini Apps для доступа к библиотеке 'вечных'","Telegram — Mini Apps for accessing the Eternals library","Telegram: Mini Apps доступ","Telegram: Mini Apps access","Интерфейс и дистрибуция диалогов Evera.","Interface & distribution of Evera dialogues."
